created_at,username,rating,condition,title,n_like,review,contribution,origin
2020-01-30,Scielbi,4,Jan 2020,Visit,0,"We spent about an hour here, would have done more but it was raining. very nice especially the cactus building.  Unfortunately many jerks carve their initials into the cactus. I would have liked to see one & take care of that problem.  The bird park is better however.",362,"Santa Fe, NM1,"
2020-01-04,caddyandbellA,3,Dec 2019,Worth the stop if your in the area,0,We were passing the area and decided to drop in.The Gardens are pretty and you can drive around each area and stop and get out and walk around.I enjoyed the cactus hothouse and there are some beautiful specimens all around.Well maintained and easy way to spend 1/2 hour or so,674,"Perth, Australia4,"
2019-12-02,mrbadsyam,4,Dec 2019 • Friends,wow,0,Beautiful well maintained garden. part of its forest reminded me of nami island in korea with its trees' spread,283,"Cyberjaya, Malaysia"
2019-11-06,John C,5,Oct 2019,Beautiful,0,"One of the best gardens in Bali. Very well laid out, water fountains, walking paths, little places for sitting all good.If you fancy a Zipline you can do that also. Very well maintained and well worth a visit.",129,"Metung, Australia"
2019-10-22,made agus parwata,5,Oct 2019 • Family,One day tour with france,1,"From lovina we go to Ulundanu beratan temple,  we pass gitgit waterfall coz they saw already many waterfall in bali. After 1 hour we had beratan temple,  they stay here around 45menit after that we go to Botanical garden at bedugul,  after 10 menit drive from temple we arrive at bedugul. They stay around 2 and half hour here. We go cactus glass , Rhododendron , taman usada,  bamboo colection etc in Botanical garden at bedugul. After Botanical garden at bedugul we go for drink Coffee at baturiti luwak coffee abd swing.",103,"Anturan, Indonesia"
2019-09-27,Simon N,4,Sep 2019 • Friends,Beautiful setting,0,"Took my 80 year old mum up here for her birthday as she loves tropical gardens. She wasn’t disappointed with the fantastic varieties of plants and flowers. Also had a surprise encounter with a local monkey scavenging for food. Depending on where you are staying in Bali, the travel time to and from the gardens can be lengthy. We left Seminyak at 9am and arrived at the gardens at 11am. This was by private car. It was a similar timeframe to return. If you are making the long trip up there, you should also visit the Lake.",44,"Perth, Western Australia, Australia"
2019-09-12,jonnyaut,5,Sep 2019,One of the most beautiful places in Bali,0,"You can see a lot of different plants there. It feels a bit like jurassic park driving with a car there. Highlights were the bamboo forest, and the very old tree.",46,"Vienna, Austria"
2019-09-11,Frenty J,5,Sep 2019 • Couples,Nice walk,0,Beautiful jungle.We walked through the jungle ans stoped in a temple on the top of the park.very relaxing and my partner was doing his taichi there and we both loved it so much.Many birds with beautiful colors and also the roses garden aaww 🥰🥰🥰🥰..Definately will back next  year,20,"Kerobokan Kelod, Indonesia"
2019-08-04,Eric K,5,Aug 2019 • Couples,Don't miss it !!!,0,"After seeing the market, lake and temple we were debating the botanic gardens and could have said no, we are very happy we ended up going. This is a green oasis, a beautiful garden with lots of collection of tropical or other flower or plant varieties with some that are unexpected. We went for a long walk on our own and then decided we would not see most of the attractions (it's a very large park), so we went back to the entrance and then saw the buggies. If you get 5 people going they only pay 20K each, as it was only 2 of us we paid 100K but this was money well spent (for about 45 mins). Wayan our driver was charming and took us to the highlights and waited patiently for us. We took selfies with each other and had a great time. Bamboos, Begonias and the monkees were the standouts for us.",315,"Melbourne, Australia"
2019-08-03,Cait6,3,Aug 2019 • Friends,You don’t need to go right now,1,"Are you a local Balinese family looking for a tranquil green park to spend the day having a picnic? Go here. Are you a tourist who has a limited time in Ubud and could be doing more fun, adventurous activities? Don’t come here. It’s a 2 hour drive (minimum). The orchids aren’t in bloom right now, and the dreary cacti made me sad. The best part was a giant banyan tree, but my husband was unable to climb it. There was also this radical dragon face reptile building..it is locked and it appears that the reptiles have escaped. If you are still reading this, I for one welcome our new reptilian overlords.",25,"Toronto, Canada"
